step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
125.0,60,3833.0,53.236111111111114,1.9474676635777928,31,1521.0,0.05748621485646707,10,783.0,0.19352251370045698,19,1624.0,0.0,0,0.0,0.8080385825084453,60,3928.0
130.0,61,4135.0,57.43055555555556,1.6513268092046747,32,1678.0,0.0015105242584900764,10,833.0,0.2560119999056307,19,1719.0,0.0,0,0.0,0.8248036736960409,61,4230.0
135.0,59,4232.0,57.97260273972603,1.9128071448027646,30,1760.0,0.05380730365699115,10,883.0,0.20552268708821822,19,1814.0,0.0,0,0.0,0.9353957424935343,59,4457.0
140.0,55,4189.0,57.38356164383562,2.1349812434235766,26,1750.0,0.042300797252806194,10,935.0,0.2322267025411775,19,1909.0,0.0,0,0.0,0.9027658266663211,55,4594.0
145.0,51,4030.0,56.76056338028169,1.6337474339808813,21,1760.0,0.048372350790879544,11,986.0,0.00438233725900675,19,2004.0,0.0,0,0.0,0.9031872789678678,51,4750.0
150.0,48,3815.0,52.986111111111114,2.308006901666764,16,1653.0,0.10116710208471487,13,1048.0,0.06656137755412696,19,2101.0,0.08920435295223064,0,0.0,0.9403103864398807,48,4802.0
155.0,46,3697.0,49.95945945945946,2.449461918745996,14,1647.0,0.10187504867769213,13,1113.0,0.12111761876504229,19,2196.0,0.12623211052006234,0,0.0,1.0,46,4956.0
160.0,42,3633.0,49.0945945945946,2.4977817421958104,10,1552.0,0.10759394070761084,13,1180.0,0.21257075945534895,19,2289.0,0.041541199038632584,0,0.0,1.0,42,5021.0
165.0,40,3645.0,48.6,2.2505575527486332,7,1484.0,0.0988939545300028,14,1248.0,0.15755469062475733,19,2384.0,0.0,0,0.0,0.9025794982012901,40,5116.0
170.0,43,3824.0,49.66233766233766,2.599928879612537,8,1324.0,0.1059549372989775,16,1327.0,0.1489650256726559,19,2481.0,0.08945528359397055,0,0.0,0.9657282524486738,43,5132.0
175.0,45,4026.0,51.61538461538461,3.031576378728237,10,1092.0,0.1222853373942363,16,1407.0,0.1715018114085037,19,2574.0,0.15104712645668972,0,0.0,0.934256937961652,45,5073.0
180.0,47,4247.0,51.792682926829265,3.564026340060608,12,895.0,0.14068849420714255,16,1487.0,0.1799872211404056,19,2669.0,0.20436409984463338,0,0.0,0.9017911584646089,47,5051.0
185.0,48,4480.0,56.0,3.7998824382184475,13,820.0,0.18772137435714095,16,1567.0,0.0945292966988592,19,2764.0,0.19289316647353402,0,0.0,0.9216858580855342,48,5151.0
190.0,52,4734.0,57.036144578313255,3.93637212277813,17,721.0,0.16904704692123398,16,1647.0,0.09585119499989764,19,2859.0,0.21739445936529492,0,0.0,0.9191636683601424,52,5227.0
195.0,54,5001.0,61.74074074074074,3.921104883710693,19,714.0,0.16699384369063128,16,1727.0,0.10532869872659795,19,2954.0,0.19988227223011976,0,0.0,0.8646096007244841,54,5395.0
200.0,54,5271.0,65.07407407407408,3.8733251491549354,19,807.0,0.18337604620341053,16,1807.0,0.14270200501261696,19,3049.0,0.21980135424601052,0,0.0,1.0,54,5663.0
205.0,54,5541.0,67.57317073170732,4.034908134069186,19,902.0,0.20276680000588476,16,1887.0,0.14049158059527447,19,3144.0,0.20015454581774755,0,0.0,0.9190937139346071,54,5933.0
210.0,54,5811.0,71.74074074074075,3.8229321295395695,19,997.0,0.20173868862712616,16,1967.0,0.10906908261260255,19,3239.0,0.18048876755555054,0,0.0,0.9310872100108393,54,6203.0
215.0,54,6081.0,76.0125,3.7248781203796617,19,1092.0,0.17475348287208156,16,2047.0,0.1026887886260007,19,3334.0,0.1946069960318183,0,0.0,0.8280251321860984,54,6473.0
220.0,54,6351.0,80.39240506329114,3.8512777067476365,19,1187.0,0.17155501351399982,16,2127.0,0.14402350749827766,19,3429.0,0.20645948979069487,0,0.0,0.82790073045159,54,6743.0
225.0,54,6621.0,84.88461538461539,3.7472318811996446,19,1282.0,0.07436502311137842,16,2207.0,0.14147381875366366,19,3524.0,0.17144693528620256,0,0.0,0.9040939773919711,54,7013.0
230.0,54,6891.0,88.34615384615384,3.676089252691148,19,1377.0,0.09027440637295128,16,2287.0,0.18366679802775587,19,3619.0,0.18971814576383353,0,0.0,0.7930595316547485,54,7283.0
235.0,54,7161.0,93.0,3.650499236908934,19,1472.0,0.1332549442746971,16,2367.0,0.1860906083142483,19,3714.0,0.13892453271890587,0,0.0,0.8338980905712068,54,7553.0
240.0,54,7431.0,100.41891891891892,3.2667791057383724,19,1567.0,0.049350662347751664,16,2447.0,0.14238648973566204,19,3809.0,0.08179819426274396,0,0.0,0.9234606377311414,54,7823.0
245.0,54,7701.0,102.68,3.3114168543018083,19,1662.0,0.09787782535902913,16,2527.0,0.10616257560459484,19,3904.0,0.12643285482560804,0,0.0,0.9235930564293597,54,8093.0
250.0,54,7971.0,109.1917808219178,3.2325390617394403,19,1757.0,0.12829782747673998,16,2607.0,0.05545177419555396,19,3999.0,0.09062696205609203,0,0.0,0.8985714811419423,54,8363.0
255.0,54,8241.0,119.43478260869566,2.6585932923412563,19,1852.0,0.04187059715009015,16,2687.0,0.0922297501410086,19,4094.0,0.04919101807309055,0,0.0,0.9342781518349343,54,8633.0
260.0,54,8511.0,119.87323943661971,2.976365511749358,19,1947.0,0.09139935116711934,16,2767.0,0.1450517102944904,19,4189.0,0.12214907637454867,0,0.0,0.9018966645925626,54,8903.0
265.0,54,8781.0,131.0597014925373,2.3829528466476804,19,2042.0,0.08978648040085291,16,2847.0,0.1373571080758419,19,4284.0,0.09175725813305226,0,0.0,1.0,54,9173.0
270.0,54,9051.0,139.24615384615385,2.084718028090644,19,2137.0,0.0478826835447345,16,2927.0,0.09088472447324518,19,4379.0,0.0496367390578424,0,0.0,0.9384796064731641,54,9443.0
275.0,54,9321.0,147.95238095238096,1.7538931949241499,19,2232.0,0.04912969379446819,16,3007.0,0.05694257258340287,19,4474.0,0.09130555846929674,0,0.0,0.7632163930854451,54,9713.0
280.0,54,9591.0,143.1492537313433,2.433480506043447,19,2327.0,0.0912460213212837,16,3087.0,0.16425096091343638,19,4569.0,0.04978810878839621,0,0.0,0.8268507476648093,54,9983.0
